32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.806641,16.645020,14.866699,19327352832,7057408,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,54.9838,54.8591,0,1.00227
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.806641,16.645020,14.866699,19327352832,7057408,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,59.6293,59.9169,0,0.9952
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.806641,16.645020,14.866699,19327352832,7057408,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,56.6052,56.9441,0,0.994049
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.802734,16.800293,15.775391,19327352832,7520256,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,2793.13,3073.65,474,0.908734
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.802734,16.800293,15.775391,19327352832,7520256,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,2855.58,3069.19,440,0.930402
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.802734,16.800293,15.775391,19327352832,7520256,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,2537.96,3081.51,488,0.823608
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.802734,16.800293,15.775391,19327352832,7520256,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,2917.54,3083.69,461,0.946122
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.802734,16.800293,15.775391,19327352832,7520256,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,56.8017,56.4617,0,1.00602
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.802734,16.800293,15.775391,19327352832,7520256,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,56.7231,56.8447,0,0.997861
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.802734,16.800293,15.775391,19327352832,7520256,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,61.9255,61.8279,0,1.00158
